x0, y0, x1, y1
[170.000000, 100.000000, 165.273064, 125.286896],
[170.000000, 100.000000, 151.730654, 147.158663],
[170.000000, 100.000000, 131.201744, 162.661401],
[170.000000, 100.000000, 106.458872, 169.701384],
[170.000000, 100.000000, 80.843696, 167.327825],
[170.000000, 100.000000, 57.815680, 155.861285],
[170.000000, 100.000000, 40.484881, 136.850381],
[170.000000, 100.000000, 31.191915, 112.862638],
[170.000000, 100.000000, 31.191847, 87.137727],
[170.000000, 100.000000, 40.484685, 63.149934],
[170.000000, 100.000000, 57.815384, 44.138939],
[170.000000, 100.000000, 80.843338, 32.672277],
[170.000000, 100.000000, 106.458502, 30.298581],
[170.000000, 100.000000, 131.201411, 37.338433],
[170.000000, 100.000000, 151.730403, 52.841063],
[170.000000, 100.000000, 165.272930, 74.712757],
[165.273064, 125.286896, 151.730654, 147.158663],
[165.273064, 125.286896, 131.201744, 162.661401],
[165.273064, 125.286896, 106.458872, 169.701384],
[165.273064, 125.286896, 80.843696, 167.327825],
[165.273064, 125.286896, 57.815680, 155.861285],
[165.273064, 125.286896, 40.484881, 136.850381],
[165.273064, 125.286896, 31.191915, 112.862638],
[165.273064, 125.286896, 31.191847, 87.137727],
[165.273064, 125.286896, 40.484685, 63.149934],
[165.273064, 125.286896, 57.815384, 44.138939],
[165.273064, 125.286896, 80.843338, 32.672277],
[165.273064, 125.286896, 106.458502, 30.298581],
[165.273064, 125.286896, 131.201411, 37.338433],
[165.273064, 125.286896, 151.730403, 52.841063],
[165.273064, 125.286896, 165.272930, 74.712757],
[151.730654, 147.158663, 131.201744, 162.661401],
[151.730654, 147.158663, 106.458872, 169.701384],
[151.730654, 147.158663, 80.843696, 167.327825],
[151.730654, 147.158663, 57.815680, 155.861285],
[151.730654, 147.158663, 40.484881, 136.850381],
[151.730654, 147.158663, 31.191915, 112.862638],
[151.730654, 147.158663, 31.191847, 87.137727],
[151.730654, 147.158663, 40.484685, 63.149934],
[151.730654, 147.158663, 57.815384, 44.138939],
[151.730654, 147.158663, 80.843338, 32.672277],
[151.730654, 147.158663, 106.458502, 30.298581],
[151.730654, 147.158663, 131.201411, 37.338433],
[151.730654, 147.158663, 151.730403, 52.841063],
[151.730654, 147.158663, 165.272930, 74.712757],
[131.201744, 162.661401, 106.458872, 169.701384],
[131.201744, 162.661401, 80.843696, 167.327825],
[131.201744, 162.661401, 57.815680, 155.861285],
[131.201744, 162.661401, 40.484881, 136.850381],
[131.201744, 162.661401, 31.191915, 112.862638],
[131.201744, 162.661401, 31.191847, 87.137727],
[131.201744, 162.661401, 40.484685, 63.149934],
[131.201744, 162.661401, 57.815384, 44.138939],
[131.201744, 162.661401, 80.843338, 32.672277],
[131.201744, 162.661401, 106.458502, 30.298581],
[131.201744, 162.661401, 131.201411, 37.338433],
[131.201744, 162.661401, 151.730403, 52.841063],
[131.201744, 162.661401, 165.272930, 74.712757],
[106.458872, 169.701384, 80.843696, 167.327825],
[106.458872, 169.701384, 57.815680, 155.861285],
[106.458872, 169.701384, 40.484881, 136.850381],
[106.458872, 169.701384, 31.191915, 112.862638],
[106.458872, 169.701384, 31.191847, 87.137727],
[106.458872, 169.701384, 40.484685, 63.149934],
[106.458872, 169.701384, 57.815384, 44.138939],
[106.458872, 169.701384, 80.843338, 32.672277],
[106.458872, 169.701384, 106.458502, 30.298581],
[106.458872, 169.701384, 131.201411, 37.338433],
[106.458872, 169.701384, 151.730403, 52.841063],
[106.458872, 169.701384, 165.272930, 74.712757],
[80.843696, 167.327825, 57.815680, 155.861285],
[80.843696, 167.327825, 40.484881, 136.850381],
[80.843696, 167.327825, 31.191915, 112.862638],
[80.843696, 167.327825, 31.191847, 87.137727],
[80.843696, 167.327825, 40.484685, 63.149934],
[80.843696, 167.327825, 57.815384, 44.138939],
[80.843696, 167.327825, 80.843338, 32.672277],
[80.843696, 167.327825, 106.458502, 30.298581],
[80.843696, 167.327825, 131.201411, 37.338433],
[80.843696, 167.327825, 151.730403, 52.841063],
[80.843696, 167.327825, 165.272930, 74.712757],
[57.815680, 155.861285, 40.484881, 136.850381],
[57.815680, 155.861285, 31.191915, 112.862638],
[57.815680, 155.861285, 31.191847, 87.137727],
[57.815680, 155.861285, 40.484685, 63.149934],
[57.815680, 155.861285, 57.815384, 44.138939],
[57.815680, 155.861285, 80.843338, 32.672277],
[57.815680, 155.861285, 106.458502, 30.298581],
[57.815680, 155.861285, 131.201411, 37.338433],
[57.815680, 155.861285, 151.730403, 52.841063],
[57.815680, 155.861285, 165.272930, 74.712757],
[40.484881, 136.850381, 31.191915, 112.862638],
[40.484881, 136.850381, 31.191847, 87.137727],
[40.484881, 136.850381, 40.484685, 63.149934],
[40.484881, 136.850381, 57.815384, 44.138939],
[40.484881, 136.850381, 80.843338, 32.672277],
[40.484881, 136.850381, 106.458502, 30.298581],
[40.484881, 136.850381, 131.201411, 37.338433],
[40.484881, 136.850381, 151.730403, 52.841063],
[40.484881, 136.850381, 165.272930, 74.712757],
[31.191915, 112.862638, 31.191847, 87.137727],
[31.191915, 112.862638, 40.484685, 63.149934],
[31.191915, 112.862638, 57.815384, 44.138939],
[31.191915, 112.862638, 80.843338, 32.672277],
[31.191915, 112.862638, 106.458502, 30.298581],
[31.191915, 112.862638, 131.201411, 37.338433],
[31.191915, 112.862638, 151.730403, 52.841063],
[31.191915, 112.862638, 165.272930, 74.712757],
[31.191847, 87.137727, 40.484685, 63.149934],
[31.191847, 87.137727, 57.815384, 44.138939],
[31.191847, 87.137727, 80.843338, 32.672277],
[31.191847, 87.137727, 106.458502, 30.298581],
[31.191847, 87.137727, 131.201411, 37.338433],
[31.191847, 87.137727, 151.730403, 52.841063],
[31.191847, 87.137727, 165.272930, 74.712757],
[40.484685, 63.149934, 57.815384, 44.138939],
[40.484685, 63.149934, 80.843338, 32.672277],
[40.484685, 63.149934, 106.458502, 30.298581],
[40.484685, 63.149934, 131.201411, 37.338433],
[40.484685, 63.149934, 151.730403, 52.841063],
[40.484685, 63.149934, 165.272930, 74.712757],
[57.815384, 44.138939, 80.843338, 32.672277],
[57.815384, 44.138939, 106.458502, 30.298581],
[57.815384, 44.138939, 131.201411, 37.338433],
[57.815384, 44.138939, 151.730403, 52.841063],
[57.815384, 44.138939, 165.272930, 74.712757],
[80.843338, 32.672277, 106.458502, 30.298581],
[80.843338, 32.672277, 131.201411, 37.338433],
[80.843338, 32.672277, 151.730403, 52.841063],
[80.843338, 32.672277, 165.272930, 74.712757],
[106.458502, 30.298581, 131.201411, 37.338433],
[106.458502, 30.298581, 151.730403, 52.841063],
[106.458502, 30.298581, 165.272930, 74.712757],
[131.201411, 37.338433, 151.730403, 52.841063],
[131.201411, 37.338433, 165.272930, 74.712757],
[151.730403, 52.841063, 165.272930, 74.712757],
